08:25:28, Start Process on OneDrive
Time,Action
08:25:33,Testing OneDrive Single-Sign-On
08:25:33,Code Exist
08:25:34, Get Authentication Token
08:25:34, Authentication Token Exist
@{token_type=Bearer; scope=AllSites.Manage AllSites.Read AllSites.Write MyFiles.Read MyFiles.Write; expires_in=3599; ext_expires_in=0; expires_on=1510932334; not_before=1510928434; resource=https://arstconnazureo365-my.sharepoint.com/; access_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsIng1dCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyIsImtpZCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyJ9.eyJhdWQiOiJodHRwczovL2Fyc3Rjb25uYXp1cmVvMzY1LW15LnNoYXJlcG9pbnQuY29tLyIsImlzcyI6Imh0dHBzOi8vc3RzLndpbmRvd3MubmV0L2U5NWM1Njc1LTdlYWQtNDQ3Yi1hZjgwLWFmZmIxZTY0NmQzZi8iLCJpYXQiOjE1MTA5Mjg0MzQsIm5iZiI6MTUxMDkyODQzNCwiZXhwIjoxNTEwOTMyMzM0LCJhY3IiOiIxIiwiYWlvIjoiQVNRQTIvOEdBQUFBSHJyZnQxZkM2MTU0Q3NxS2tXS3V2aDRRRXlMWThobUgvN1d6VW9leU1UQT0iLCJhbXIiOlsicHdkIl0sImFwcF9kaXNwbGF5bmFtZSI6IkFjY2Vzcy0xRHJpdmU0QnVzaW5lc3MiLCJhcHBpZCI6Ijk5MGJmYWI5LTZlYjQtNGNmMy1iOTI1LTJhYmNmMjI2ZGQwNCIsImFwcGlkYWNyIjoiMSIsImZhbWlseV9uYW1lIjoiVGVhbSIsImdpdmVuX25hbWUiOiJEZXZlbG9wbWVudCIsImlwYWRkciI6IjE4Ni4xNzYuNDIuMTk1IiwibmFtZSI6IkRldmVsb3BtZW50IFRlYW0iLCJvaWQiOiI0MDViZmFiMy05YTc1LTQxYTAtYmI5My1hNWYyM2UyMWY3NWIiLCJwdWlkIjoiMTAwMzAwMDBBNUQ5NzI3NiIsInNjcCI6IkFsbFNpdGVzLk1hbmFnZSBBbGxTaXRlcy5SZWFkIEFsbFNpdGVzLldyaXRlIE15RmlsZXMuUmVhZCBNeUZpbGVzLldyaXRlIiwic3ViIjoiazhTXzlYRlhnYlhJV21VZFB5dFAwSEtpRHhSYWVoSTJQd1FWNVhjQzc3byIsInRpZCI6ImU5NWM1Njc1LTdlYWQtNDQ3Yi1hZjgwLWFmZmIxZTY0NmQzZiIsInVuaXF1ZV9uYW1lIjoiZGV2ZWxvcG1lbnRhZG1pbkBhcnN0Y29ubmF6dXJlbzM2NS5vbm1pY3Jvc29mdC5jb20iLCJ1cG4iOiJkZXZlbG9wbWVudGFkbWluQGFyc3Rjb25uYXp1cmVvMzY1Lm9ubWljcm9zb2Z0LmNvbSIsInZlciI6IjEuMCJ9.fvCpj4RnYhy8WF4OosFj4HT5kyPSdfEHrY-QbgGnbIhWh4BLitPSGD3g-j-qRGbIOV510YHkYSuWBh0YjgaEEdcrifflsELxV8zOyoBa65T_WKZTouYbt-7NoPTB6uCRW91sejee-JBEwgJhjezDFA2lXLNUMnHr--rgRKX7IVNL_uDS-SRL38m8uQs0yKbOsq_BtixDInJf2zzCTQ4d_z8LrHYoXqt3u9UW1r_x39SdY5CY-R4D4y9tZtTEyfiGDlNDowwjv_Z0KDznQ_WqMBtL41NUL2BLbsfBaZN9VfRA1NdHs24waaygGucoNvswWmZFUiKT1sJ-C13DhFCvwA; refresh_token=AQABAAAAAABHh4kmS_aKT5XrjzxRAtHzRpjmeAXqr2SMUbG5pwEYR66Uj5MteEbPbgc9JWK7hhMeqLD1tvxCBCw1XD1Fk3yn6kox0xXjQSuGCKe9YYtOcpBHn5u3VSBo6KILijbKBoq3QufqJrBdk4ywDfCL3NkuEDJT9m0PgiLkNAYKWafVGZ1f8sPOv5a2SEv6z6umVwubvUGmyu140j0ZKQ-0g_EtoU376MFM6TPjiW92_S1XQmM71-s2lfrccJ6KarQ2ctyfH-XScEcJXujUpWIAASZGD1eRsOMqBMHXlqyyA28xZ-eAHTkjI_MLVnKTl4RB1Wp8m9QN9b-0jURRaWsMg1j2GtOoN7iqcqEmL8c2DWg24cXQYE6DtriuDuOPeaQBfXe4O4ccqb1kYOohNencElUEt9_93p9bKNrf0j6_Zc9dkUEb5uySo-VFIUTS2v6KkmAR_3_ukk_ZZbqubOG5fZCxNA_b3Q6h1b9_CVVXjFy_Vi51sv3hbCWxH68VtmZvY2UVWiVtOfQzXAkqggg8bzSk2_mAWM58QysYYMyOCjfakKFmTEVqS4FZooKaHnu2rpOcs8nX35_46osGJymjY4U8vyrXAUUR7IPXnJZPiVXZYhMKczJtAFBMj2gkZWgIpEkQZuaZ4Wygqf_mQY5mOknIRcc83oHkjOaUNwVpb0HpeT8HBZreJD0S_089lYIjPs8WX1xeiDqhTL2v6vmXcV5m_mYYhI19_0h5YheVMABJ97O42XRV1TRkqb8Y_P4VD4Zf93CL_9JVe_euBtSwvMChztrQMCWN8yipQcaUpQC90su9-qshvJsu2aUhYXph4sQgAA; id_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJub25lIn0.eyJhdWQiOiI5OTBiZmFiOS02ZWI0LTRjZjMtYjkyNS0yYWJjZjIyNmRkMDQiLCJpc3MiOiJodHRwczovL3N0cy53aW5kb3dzLm5ldC9lOTVjNTY3NS03ZWFkLTQ0N2ItYWY4MC1hZmZiMWU2NDZkM2YvIiwiaWF0IjoxNTEwOTI4NDM0LCJuYmYiOjE1MTA5Mjg0MzQsImV4cCI6MTUxMDkzMjMzNCwiYW1yIjpbInB3ZCJdLCJmYW1pbHlfbmFtZSI6IlRlYW0iLCJnaXZlbl9uYW1lIjoiRGV2ZWxvcG1lbnQiLCJpcGFkZHIiOiIxODYuMTc2LjQyLjE5NSIsIm5hbWUiOiJEZXZlbG9wbWVudCBUZWFtIiwib2lkIjoiNDA1YmZhYjMtOWE3NS00MWEwLWJiOTMtYTVmMjNlMjFmNzViIiwic3ViIjoiNTBlNUc4X1pQV0dNaUh6NmpMUk04WTBRV244WC1kOXVLbGVjVHQ5R2tBWSIsInRpZCI6ImU5NWM1Njc1LTdlYWQtNDQ3Yi1hZjgwLWFmZmIxZTY0NmQzZiIsInVuaXF1ZV9uYW1lIjoiZGV2ZWxvcG1lbnRhZG1pbkBhcnN0Y29ubmF6dXJlbzM2NS5vbm1pY3Jvc29mdC5jb20iLCJ1cG4iOiJkZXZlbG9wbWVudGFkbWluQGFyc3Rjb25uYXp1cmVvMzY1Lm9ubWljcm9zb2Z0LmNvbSIsInZlciI6IjEuMCJ9.}
08:25:35, Drive Information
@{@odata.context=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/$metadata#drive; @odata.type=#oneDrive.drive; @odata.id=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/drive; @odata.editLink=drive; createdBy=; createdDateTime=2017-10-25T04:53:35Z; description=; id=b!W-UNaR9o9EqVoqUSKHRdCZqRwLFLIXpIk7OiSdbeH9xDg2b_wUNpT6BrjVeUqeLG; lastModifiedBy=; lastModifiedDateTime=2017-10-27T20:54:54Z; name=OneDrive; webUrl=https://arstconnazureo365-my.sharepoint.com/personal/developmentadmin_arstconnazureo365_onmicrosoft_com/Documents; driveType=business; owner=; quota=}
08:25:35, Files and Folders in root drive

08:25:35, End Process
