12:19:11, Start Process on OneDrive
Time,Action
12:19:19,Testing OneDrive Single-Sign-On
12:19:19,Code Exist
12:19:20, Get Authentication Token
12:19:20, Authentication Token Exist
@{token_type=Bearer; scope=AllSites.Manage AllSites.Read AllSites.Write MyFiles.Read MyFiles.Write; expires_in=3599; ext_expires_in=0; expires_on=1511291960; not_before=1511288060; resource=https://arstconnazureo365-my.sharepoint.com/; access_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsIng1dCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyIsImtpZCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyJ9.eyJhdWQiOiJodHRwczovL2Fyc3Rjb25uYXp1cmVvMzY1LW15LnNoYXJlcG9pbnQuY29tLyIsImlzcyI6Imh0dHBzOi8vc3RzLndpbmRvd3MubmV0L2U5NWM1Njc1LTdlYWQtNDQ3Yi1hZjgwLWFmZmIxZTY0NmQzZi8iLCJpYXQiOjE1MTEyODgwNjAsIm5iZiI6MTUxMTI4ODA2MCwiZXhwIjoxNTExMjkxOTYwLCJhY3IiOiIxIiwiYWlvIjoiWTJOZ1lOaWxvOXBzSXhDNlhlbVVMc3VIekQ5N2w4MTZaUnViZVBGdDVSRzVLUGFaSW80QSIsImFtciI6WyJwd2QiXSwiYXBwX2Rpc3BsYXluYW1lIjoiQWNjZXNzLTFEcml2ZTRCdXNpbmVzcyIsImFwcGlkIjoiOTkwYmZhYjktNmViNC00Y2YzLWI5MjUtMmFiY2YyMjZkZDA0IiwiYXBwaWRhY3IiOiIxIiwiZmFtaWx5X25hbWUiOiJUZWFtIiwiZ2l2ZW5fbmFtZSI6IkRldmVsb3BtZW50IiwiaXBhZGRyIjoiMTg2LjE3Ni40Mi4xOTUiLCJuYW1lIjoiRGV2ZWxvcG1lbnQgVGVhbSIsIm9pZCI6IjQwNWJmYWIzLTlhNzUtNDFhMC1iYjkzLWE1ZjIzZTIxZjc1YiIsInB1aWQiOiIxMDAzMDAwMEE1RDk3Mjc2Iiwic2NwIjoiQWxsU2l0ZXMuTWFuYWdlIEFsbFNpdGVzLlJlYWQgQWxsU2l0ZXMuV3JpdGUgTXlGaWxlcy5SZWFkIE15RmlsZXMuV3JpdGUiLCJzaWduaW5fc3RhdGUiOlsia21zaSJdLCJzdWIiOiJrOFNfOVhGWGdiWElXbVVkUHl0UDBIS2lEeFJhZWhJMlB3UVY1WGNDNzdvIiwidGlkIjoiZTk1YzU2NzUtN2VhZC00NDdiLWFmODAtYWZmYjFlNjQ2ZDNmIiwidW5pcXVlX25hbWUiOiJkZXZlbG9wbWVudGFkbWluQGFyc3Rjb25uYXp1cmVvMzY1Lm9ubWljcm9zb2Z0LmNvbSIsInVwbiI6ImRldmVsb3BtZW50YWRtaW5AYXJzdGNvbm5henVyZW8zNjUub25taWNyb3NvZnQuY29tIiwidXRpIjoieFpfTmN6MUc1VUtXRGUzTjVqOE1BQSIsInZlciI6IjEuMCJ9.Rg_UFO-zKGUoCvdLyktxxpZAGsU-GgvEl7xIuxGPyQThz1LA6L8IZ_qPIaEEFcGrh-TEnEDDJmJOcPIC9BchETU_5Uk1vEAWVWRnZz2_Ewr_RssUiGukKBS7FMOEeT4Xiea_dbAm_BDffrBkG_xG1nQ-2majffKe8Okvq7IFxLlPlGGSOuNYEYzBJC8HP-gkSfTcSZO7VDNN22pCVffJZeviS3gauGigGfluO6QuBva9iNqTkr0GLP3cNKPMDgX2K4_Z3KaKbitc4uqBmQ12oIHi5w4Zjn2SKeG-L1eplQ_1qw3ubT22GeiZjecTBUD-aJKKEcPONIYfIqPrJromYw; refresh_token=AQABAAAAAABHh4kmS_aKT5XrjzxRAtHz28jUVRlF1ruaMI7YDs09Fn-h1hq0QqsGpJnDw9Sgzq-W7J2KiN8mVYtm4mBYUXx0C5xsHmXU8FDPmHSRqbNp4cDCknwyjfiNc5-6JAA92yWT-NUXDN1Yy_nsDe2zkHMUUN7BBdMzxqDinid_d0l-cs6oBTbckg1IgR00AwFxDZTqRUDESRq5jmSJ0OoqEPmaP5FFoO-KGd2npu2-TcLCAhZ-JR-aPnqfMvBPh6QT31X9iy2QwDhEqBL9-h2tpqEbJhYgdALmJNmmS2231eCZmB1no-ARFVEwsn52WB3K1m7N58jKN0uA8bY1n8oWybEBjRvj5fODgFxS4q8ZHjaLT4xzGpQrsgEyReZ5-wSSaOVOVox1NWfOexoi17FPtr0azD0lKXfSyL5no__d1e5W4nE75j436_a6djevn0BVz7PDZtX6Y64aqEus0Qv860LX_-r2tbG7xp89LLckmefu4z7MaGkjAMXINpW1C5f7cmyXgdfRd4Taz3-dGk1JkL7th9yaTWYroQlhr7kLUjlbLslKdZ930AVRXtiKvJCP3_h-Xwr5TI1LcuUgYqU0pnVpn6lhc3Qt5KnAIMW8AcNgx-lqI791EcCi334WNgvdsyVOwls84OHnTdWhFdwn9MAeRyf666HTmxKrOdw-3_wsbreuXryze95kmpJnevlvceLu_fGvgDKl9_mZCO46Ca6Hjc8yl6vo2oK9DLhaTG2_urmygXXHal4TnJarlwBh7mRIOKU9e9us-Y06PrGhNezc_5lGxCDN29Sw7ME72fpz_aYLF7-gMWxvAJ9YRcYdTcMgAA; id_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJub25lIn0.eyJhdWQiOiI5OTBiZmFiOS02ZWI0LTRjZjMtYjkyNS0yYWJjZjIyNmRkMDQiLCJpc3MiOiJodHRwczovL3N0cy53aW5kb3dzLm5ldC9lOTVjNTY3NS03ZWFkLTQ0N2ItYWY4MC1hZmZiMWU2NDZkM2YvIiwiaWF0IjoxNTExMjg4MDYwLCJuYmYiOjE1MTEyODgwNjAsImV4cCI6MTUxMTI5MTk2MCwiYW1yIjpbInB3ZCJdLCJmYW1pbHlfbmFtZSI6IlRlYW0iLCJnaXZlbl9uYW1lIjoiRGV2ZWxvcG1lbnQiLCJpcGFkZHIiOiIxODYuMTc2LjQyLjE5NSIsIm5hbWUiOiJEZXZlbG9wbWVudCBUZWFtIiwib2lkIjoiNDA1YmZhYjMtOWE3NS00MWEwLWJiOTMtYTVmMjNlMjFmNzViIiwic3ViIjoiNTBlNUc4X1pQV0dNaUh6NmpMUk04WTBRV244WC1kOXVLbGVjVHQ5R2tBWSIsInRpZCI6ImU5NWM1Njc1LTdlYWQtNDQ3Yi1hZjgwLWFmZmIxZTY0NmQzZiIsInVuaXF1ZV9uYW1lIjoiZGV2ZWxvcG1lbnRhZG1pbkBhcnN0Y29ubmF6dXJlbzM2NS5vbm1pY3Jvc29mdC5jb20iLCJ1cG4iOiJkZXZlbG9wbWVudGFkbWluQGFyc3Rjb25uYXp1cmVvMzY1Lm9ubWljcm9zb2Z0LmNvbSIsInZlciI6IjEuMCJ9.}
12:19:23, Drive Information
@{@odata.context=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/$metadata#drive; @odata.type=#oneDrive.drive; @odata.id=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/drive; @odata.editLink=drive; createdBy=; createdDateTime=2017-10-25T04:53:35Z; description=; id=b!W-UNaR9o9EqVoqUSKHRdCZqRwLFLIXpIk7OiSdbeH9xDg2b_wUNpT6BrjVeUqeLG; lastModifiedBy=; lastModifiedDateTime=2017-10-27T20:54:54Z; name=OneDrive; webUrl=https://arstconnazureo365-my.sharepoint.com/personal/developmentadmin_arstconnazureo365_onmicrosoft_com/Documents; driveType=business; owner=; quota=}
12:19:23, Files and Folders in root drive

12:19:23, End Process
