16:08:47, Start Process on OneDrive
Time,Action
16:08:51,Testing OneDrive Single-Sign-On
16:08:51,Code Exist
16:08:51, Get Authentication Token
16:08:52, Authentication Token Exist
@{token_type=Bearer; scope=AllSites.Manage AllSites.Read AllSites.Write MyFiles.Read MyFiles.Write; expires_in=3600; ext_expires_in=0; expires_on=1510873732; not_before=1510869832; resource=https://arstconnazureo365-my.sharepoint.com/; access_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsIng1dCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyIsImtpZCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyJ9.eyJhdWQiOiJodHRwczovL2Fyc3Rjb25uYXp1cmVvMzY1LW15LnNoYXJlcG9pbnQuY29tLyIsImlzcyI6Imh0dHBzOi8vc3RzLndpbmRvd3MubmV0L2U5NWM1Njc1LTdlYWQtNDQ3Yi1hZjgwLWFmZmIxZTY0NmQzZi8iLCJpYXQiOjE1MTA4Njk4MzIsIm5iZiI6MTUxMDg2OTgzMiwiZXhwIjoxNTEwODczNzMyLCJhY3IiOiIxIiwiYWlvIjoiQVNRQTIvOEdBQUFBS1kzQ3phakY3dnFTSy9tcnI5c2dWOUFJVWlDWmpNb2tiSjZvVi94NnlWaz0iLCJhbXIiOlsicHdkIl0sImFwcF9kaXNwbGF5bmFtZSI6IkFjY2Vzcy0xRHJpdmU0QnVzaW5lc3MiLCJhcHBpZCI6Ijk5MGJmYWI5LTZlYjQtNGNmMy1iOTI1LTJhYmNmMjI2ZGQwNCIsImFwcGlkYWNyIjoiMSIsImZhbWlseV9uYW1lIjoiVGVhbSIsImdpdmVuX25hbWUiOiJEZXZlbG9wbWVudCIsImlwYWRkciI6IjE1LjIwMy4yMzMuNzciLCJuYW1lIjoiRGV2ZWxvcG1lbnQgVGVhbSIsIm9pZCI6IjQwNWJmYWIzLTlhNzUtNDFhMC1iYjkzLWE1ZjIzZTIxZjc1YiIsInB1aWQiOiIxMDAzMDAwMEE1RDk3Mjc2Iiwic2NwIjoiQWxsU2l0ZXMuTWFuYWdlIEFsbFNpdGVzLlJlYWQgQWxsU2l0ZXMuV3JpdGUgTXlGaWxlcy5SZWFkIE15RmlsZXMuV3JpdGUiLCJzdWIiOiJrOFNfOVhGWGdiWElXbVVkUHl0UDBIS2lEeFJhZWhJMlB3UVY1WGNDNzdvIiwidGlkIjoiZTk1YzU2NzUtN2VhZC00NDdiLWFmODAtYWZmYjFlNjQ2ZDNmIiwidW5pcXVlX25hbWUiOiJkZXZlbG9wbWVudGFkbWluQGFyc3Rjb25uYXp1cmVvMzY1Lm9ubWljcm9zb2Z0LmNvbSIsInVwbiI6ImRldmVsb3BtZW50YWRtaW5AYXJzdGNvbm5henVyZW8zNjUub25taWNyb3NvZnQuY29tIiwidmVyIjoiMS4wIn0.T8cJjT-ZGOWxEOmcKsQDKoEW6QcS1ddUosAIw0J11z0v7j52SwGsJMc4imzsCqazyoW4HBZf1IyOZTKzMmdQRWk7FlTfe_tMEy00AOkgXbvCiX8hHZrUso-44PEuvtT0XSl3mE8qsNn3k7-PyCMSIWP-eITIvEmv6zfkWVKXqySmcTo9iMwmpg1OekryXQAfe60qcPYSvdL0Etr0631FmS44wPlESDskT_JKcs9iteUuiBqM9u5wVykT74e05kySxLdS8T60H8Zmwza6KhD_mL1m09OkB98Ck5m2nktNa-6hp_yWz-Uyqx_ze7Tx7fS5kQYovDNKwxhNN1z7NUjNgA; refresh_token=AQABAAAAAABHh4kmS_aKT5XrjzxRAtHzhuF4QOCKZOzOdD4Rym7qPRavPTUSIsTeZGgfnMey1dhQOwyir8OLrRRodU6MDSb0jxyk_mgF7bIvjE5IE53mUR-Rt0wJ3spTsUUJhyQaRn_mvw4QdvmhXmNAjd4qdTi51gF3H-ouZ7r6VeLUvcnll4alWNJEdY0jKpOh9J3jE7lb7yIC-HKfGpOh54BKbAKUmQuAoOSaLy_1bBsh9L36zBMjHgLI4_Lbk68Brq30H5ZXT-bVLZMP-oSzwcMZINTm9IBqpjmxnbJ9ZWG0siW7VX8aAaYh5qisI6k5L-rKp4BGz8qX4XgXqTtLI91DYd6weYvw4Qgz11o5aa2PE7eSzuIHbf-RpeGg1FwKhfMRXkYdah6Uy9TJ03OxRAQ_PDudaYH73-09Cdt4dtGtwd8-iftbz0ajt1xYmE7NrcZH3CiqaBASadpP7xj_n4GHsJDHC231ZlHN6mq2lG-glncBYSu-gIwfswZK_MljM5OsnRPmN7MgSHEE_L_UDRV1_rbaYcEboQ_0QniUu9G3a94uFkj3u0yo_JTTW4zoBjiW0VOK1ECZwXKy0A8NkApeq8xzi8EFw_EL32LlLWuiuFyBGsr1gfR6VWGbPWjv-1GCK6aEa-_88preVvYCwAlWQJ927aAwWB-6s2G3dhy24PMu5bTrb0AQg6LgOEVUcX1IQG1UxxEwhCMFfOaemqKqBHZdgHYDNhyjL5SKk7gpwE6w4Egi5QS9hyZIghFg78GBW68aShw3-DnIsdS4-zBZfykeCr4yiAjgGk7soQsuGr1byiAA; id_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJub25lIn0.eyJhdWQiOiI5OTBiZmFiOS02ZWI0LTRjZjMtYjkyNS0yYWJjZjIyNmRkMDQiLCJpc3MiOiJodHRwczovL3N0cy53aW5kb3dzLm5ldC9lOTVjNTY3NS03ZWFkLTQ0N2ItYWY4MC1hZmZiMWU2NDZkM2YvIiwiaWF0IjoxNTEwODY5ODMyLCJuYmYiOjE1MTA4Njk4MzIsImV4cCI6MTUxMDg3MzczMiwiYW1yIjpbInB3ZCJdLCJmYW1pbHlfbmFtZSI6IlRlYW0iLCJnaXZlbl9uYW1lIjoiRGV2ZWxvcG1lbnQiLCJpcGFkZHIiOiIxNS4yMDMuMjMzLjc3IiwibmFtZSI6IkRldmVsb3BtZW50IFRlYW0iLCJvaWQiOiI0MDViZmFiMy05YTc1LTQxYTAtYmI5My1hNWYyM2UyMWY3NWIiLCJzdWIiOiI1MGU1RzhfWlBXR01pSHo2akxSTThZMFFXbjhYLWQ5dUtsZWNUdDlHa0FZIiwidGlkIjoiZTk1YzU2NzUtN2VhZC00NDdiLWFmODAtYWZmYjFlNjQ2ZDNmIiwidW5pcXVlX25hbWUiOiJkZXZlbG9wbWVudGFkbWluQGFyc3Rjb25uYXp1cmVvMzY1Lm9ubWljcm9zb2Z0LmNvbSIsInVwbiI6ImRldmVsb3BtZW50YWRtaW5AYXJzdGNvbm5henVyZW8zNjUub25taWNyb3NvZnQuY29tIiwidmVyIjoiMS4wIn0.}
16:08:53, Drive Information
@{@odata.context=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/$metadata#drive; @odata.type=#oneDrive.drive; @odata.id=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/drive; @odata.editLink=drive; createdBy=; createdDateTime=2017-10-25T04:53:35Z; description=; id=b!W-UNaR9o9EqVoqUSKHRdCZqRwLFLIXpIk7OiSdbeH9xDg2b_wUNpT6BrjVeUqeLG; lastModifiedBy=; lastModifiedDateTime=2017-10-27T20:54:54Z; name=OneDrive; webUrl=https://arstconnazureo365-my.sharepoint.com/personal/developmentadmin_arstconnazureo365_onmicrosoft_com/Documents; driveType=business; owner=; quota=}
16:08:53, Files and Folders in root drive

