16:44:35, Start Process on OneDrive
Time,Action
16:44:39,Testing OneDrive Single-Sign-On
16:44:39,Code Exist
16:44:39, Get Authentication Token
16:44:39, Authentication Token Exist
@{token_type=Bearer; scope=AllSites.Manage AllSites.Read AllSites.Write MyFiles.Read MyFiles.Write; expires_in=3599; ext_expires_in=0; expires_on=1510875879; not_before=1510871979; resource=https://arstconnazureo365-my.sharepoint.com/; access_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsIng1dCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyIsImtpZCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyJ9.eyJhdWQiOiJodHRwczovL2Fyc3Rjb25uYXp1cmVvMzY1LW15LnNoYXJlcG9pbnQuY29tLyIsImlzcyI6Imh0dHBzOi8vc3RzLndpbmRvd3MubmV0L2U5NWM1Njc1LTdlYWQtNDQ3Yi1hZjgwLWFmZmIxZTY0NmQzZi8iLCJpYXQiOjE1MTA4NzE5NzksIm5iZiI6MTUxMDg3MTk3OSwiZXhwIjoxNTEwODc1ODc5LCJhY3IiOiIxIiwiYWlvIjoiQVNRQTIvOEdBQUFBT3hzV0h5endvZ25MUUxpeW1hZGxCM1hDUlE1NDZHSnYyc3ZZOHFESXJwMD0iLCJhbXIiOlsicHdkIl0sImFwcF9kaXNwbGF5bmFtZSI6IkFjY2Vzcy0xRHJpdmU0QnVzaW5lc3MiLCJhcHBpZCI6Ijk5MGJmYWI5LTZlYjQtNGNmMy1iOTI1LTJhYmNmMjI2ZGQwNCIsImFwcGlkYWNyIjoiMSIsImZhbWlseV9uYW1lIjoiVGVhbSIsImdpdmVuX25hbWUiOiJEZXZlbG9wbWVudCIsImlwYWRkciI6IjE1LjIwMy4yMzMuNzciLCJuYW1lIjoiRGV2ZWxvcG1lbnQgVGVhbSIsIm9pZCI6IjQwNWJmYWIzLTlhNzUtNDFhMC1iYjkzLWE1ZjIzZTIxZjc1YiIsInB1aWQiOiIxMDAzMDAwMEE1RDk3Mjc2Iiwic2NwIjoiQWxsU2l0ZXMuTWFuYWdlIEFsbFNpdGVzLlJlYWQgQWxsU2l0ZXMuV3JpdGUgTXlGaWxlcy5SZWFkIE15RmlsZXMuV3JpdGUiLCJzdWIiOiJrOFNfOVhGWGdiWElXbVVkUHl0UDBIS2lEeFJhZWhJMlB3UVY1WGNDNzdvIiwidGlkIjoiZTk1YzU2NzUtN2VhZC00NDdiLWFmODAtYWZmYjFlNjQ2ZDNmIiwidW5pcXVlX25hbWUiOiJkZXZlbG9wbWVudGFkbWluQGFyc3Rjb25uYXp1cmVvMzY1Lm9ubWljcm9zb2Z0LmNvbSIsInVwbiI6ImRldmVsb3BtZW50YWRtaW5AYXJzdGNvbm5henVyZW8zNjUub25taWNyb3NvZnQuY29tIiwidmVyIjoiMS4wIn0.Y8k1m0GZSbUsb8NtEAnXM_2mRdTpmgVxWut8XlyQOLcG8wYKtRbNSqqqG8Gg1WBAoG-VHbP4doszltXRZ3b_2hImr391JqZnmm_JcQ39pXGMRIyABe2LfE4T7UhQp2kfxAaX68HV0_edSsmrBxYcBCdJ_hNbxssNWcA6x96I0Bn6IsMtD1whLb3-ETr6mx2smDQf0xy_9KgYsIoGeG1v7Yaq701fB27xx2W-K4Cc2B_jKuRBnl5rFShIiM3IkV3Cn60cE2TWJ9vqae3oFf5ulyktv0CTB7zgw9Y58Ic0VJmjdUZuMWBUG-tgJVMN__1S5VkEnT4_cGlYkLncpk7n9g; refresh_token=AQABAAAAAABHh4kmS_aKT5XrjzxRAtHz56k-OjD0WX7KG_-wfpmTv3unBQEMkg-IjqFdUlRG0PXHyV7f8FcdgCwvlHDbUVYq8jyOQnql93wbcby0K98gnlmKFSyZw1S6sICCetce4ddODlrIl_ReNwF2-cDkg5ry3E-LD5AKlPAimmM2dRDPvsiso_T8RRPESIlln2SMWk61Ra6oE8lZDXnDHVIEc6oUJfp1wzkm415m-y888hh3j5x_tEF0BLbl2lEF36J3CUjpJQ2oacSW6k3gyRJiKpnkjq-sWk1jn1t3bw5Hii57L-tHFYwTsK1sfWMpSWpGHeyEstNKKh1gH04hGshoBefWSyXE51RbeygeW_T_3RaGZ7gw5vr1peu3ukXqmdKqWifyeFvbglJ3CDrc27SmURti1rsms2vGgAmmyBUF4EMNwJg5bRhAdlCLxjrgjWv8-Zn3XvYxG1RXn974Zbc4qPhbNBzP-kRQex6YppJApb6lHzgTJQzOQj3mQlJldV6rGTnRonI4w0QddG6w5ojD5ePwRM_xCvThqnp6iSV6GLZHLjOfNjZBPJUA-58FLy6guJljG7TIa_QJ3rnYnHF60RYBZLWMjrc7__b7UtG1AGQLld6WO7LBchlpSXN2FWaTYfcUsQGMXIczQ46BEfvAFbFCR2uVZwRkXSQOGm61eavLRPB0K3lgbdZMPKpHnF_qnU12-sgfHPMMeJm-WO0jZe74llDQOcMsJ0WRPUqOxbDZbtWQ59P3FAX0drfciVwLQAxms7XYmL4s3Lujce2elC8mEFrUQ8YTbrullv7yHetxmyAA; id_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJub25lIn0.eyJhdWQiOiI5OTBiZmFiOS02ZWI0LTRjZjMtYjkyNS0yYWJjZjIyNmRkMDQiLCJpc3MiOiJodHRwczovL3N0cy53aW5kb3dzLm5ldC9lOTVjNTY3NS03ZWFkLTQ0N2ItYWY4MC1hZmZiMWU2NDZkM2YvIiwiaWF0IjoxNTEwODcxOTc5LCJuYmYiOjE1MTA4NzE5NzksImV4cCI6MTUxMDg3NTg3OSwiYW1yIjpbInB3ZCJdLCJmYW1pbHlfbmFtZSI6IlRlYW0iLCJnaXZlbl9uYW1lIjoiRGV2ZWxvcG1lbnQiLCJpcGFkZHIiOiIxNS4yMDMuMjMzLjc3IiwibmFtZSI6IkRldmVsb3BtZW50IFRlYW0iLCJvaWQiOiI0MDViZmFiMy05YTc1LTQxYTAtYmI5My1hNWYyM2UyMWY3NWIiLCJzdWIiOiI1MGU1RzhfWlBXR01pSHo2akxSTThZMFFXbjhYLWQ5dUtsZWNUdDlHa0FZIiwidGlkIjoiZTk1YzU2NzUtN2VhZC00NDdiLWFmODAtYWZmYjFlNjQ2ZDNmIiwidW5pcXVlX25hbWUiOiJkZXZlbG9wbWVudGFkbWluQGFyc3Rjb25uYXp1cmVvMzY1Lm9ubWljcm9zb2Z0LmNvbSIsInVwbiI6ImRldmVsb3BtZW50YWRtaW5AYXJzdGNvbm5henVyZW8zNjUub25taWNyb3NvZnQuY29tIiwidmVyIjoiMS4wIn0.}
16:44:40, Drive Information
@{@odata.context=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/$metadata#drive; @odata.type=#oneDrive.drive; @odata.id=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/drive; @odata.editLink=drive; createdBy=; createdDateTime=2017-10-25T04:53:35Z; description=; id=b!W-UNaR9o9EqVoqUSKHRdCZqRwLFLIXpIk7OiSdbeH9xDg2b_wUNpT6BrjVeUqeLG; lastModifiedBy=; lastModifiedDateTime=2017-10-27T20:54:54Z; name=OneDrive; webUrl=https://arstconnazureo365-my.sharepoint.com/personal/developmentadmin_arstconnazureo365_onmicrosoft_com/Documents; driveType=business; owner=; quota=}
16:44:41, Files and Folders in root drive

