11:54:54, Start Process on OneDrive
Time,Action
11:55:02,Testing OneDrive Single-Sign-On
11:55:02,Code Exist
11:55:03, Get Authentication Token
11:55:03, Authentication Token Exist
@{token_type=Bearer; scope=AllSites.Manage AllSites.Read AllSites.Write MyFiles.Read MyFiles.Write; expires_in=3599; ext_expires_in=0; expires_on=1510685703; not_before=1510681803; resource=https://arstconnazureo365-my.sharepoint.com/; access_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsIng1dCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyIsImtpZCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyJ9.eyJhdWQiOiJodHRwczovL2Fyc3Rjb25uYXp1cmVvMzY1LW15LnNoYXJlcG9pbnQuY29tLyIsImlzcyI6Imh0dHBzOi8vc3RzLndpbmRvd3MubmV0L2U5NWM1Njc1LTdlYWQtNDQ3Yi1hZjgwLWFmZmIxZTY0NmQzZi8iLCJpYXQiOjE1MTA2ODE4MDMsIm5iZiI6MTUxMDY4MTgwMywiZXhwIjoxNTEwNjg1NzAzLCJhY3IiOiIxIiwiYWlvIjoiWTJOZ1lGQnptTnQ1T05QQ0lsT1NlZW5jK296Sitwb0J2MDFYL1JDdis3MDluZnVlTVQ4QSIsImFtciI6WyJwd2QiXSwiYXBwX2Rpc3BsYXluYW1lIjoiQWNjZXNzLTFEcml2ZTRCdXNpbmVzcyIsImFwcGlkIjoiOTkwYmZhYjktNmViNC00Y2YzLWI5MjUtMmFiY2YyMjZkZDA0IiwiYXBwaWRhY3IiOiIxIiwiZmFtaWx5X25hbWUiOiJUZWFtIiwiZ2l2ZW5fbmFtZSI6IkRldmVsb3BtZW50IiwiaXBhZGRyIjoiMTUuMjAzLjIzMy43OCIsIm5hbWUiOiJEZXZlbG9wbWVudCBUZWFtIiwib2lkIjoiNDA1YmZhYjMtOWE3NS00MWEwLWJiOTMtYTVmMjNlMjFmNzViIiwicHVpZCI6IjEwMDMwMDAwQTVEOTcyNzYiLCJzY3AiOiJBbGxTaXRlcy5NYW5hZ2UgQWxsU2l0ZXMuUmVhZCBBbGxTaXRlcy5Xcml0ZSBNeUZpbGVzLlJlYWQgTXlGaWxlcy5Xcml0ZSIsInN1YiI6Ims4U185WEZYZ2JYSVdtVWRQeXRQMEhLaUR4UmFlaEkyUHdRVjVYY0M3N28iLCJ0aWQiOiJlOTVjNTY3NS03ZWFkLTQ0N2ItYWY4MC1hZmZiMWU2NDZkM2YiLCJ1bmlxdWVfbmFtZSI6ImRldmVsb3BtZW50YWRtaW5AYXJzdGNvbm5henVyZW8zNjUub25taWNyb3NvZnQuY29tIiwidXBuIjoiZGV2ZWxvcG1lbnRhZG1pbkBhcnN0Y29ubmF6dXJlbzM2NS5vbm1pY3Jvc29mdC5jb20iLCJ2ZXIiOiIxLjAifQ.GJU-3DmX5b82x3AOAUuNM3HewBVVXhSqZbWdoahPiaEGMltRq_jOumqX2OAMmWSzwUZibPiLivraClgdDNhFlstzOXMo4iW4FTVNmyAVHUMjws8aZDx-64iVpfhm4u_SnMtKmNosdbEI72AJEYRAOl2ViAABhpewl1L0nlZBgkc7RsZePVUKsrJSScKv_K0ELd-m89OuiBu8ZUZlv7mSf0APx9cvL4J-MxUZTjLp65s9ouN7XCgEMa5MclX0eQ-AOHj-IjkjUa9MeI1H7OxpsexeRCR5bg2zslxBD4LNSCMv1SOkvQQ0PfH3eNDLmwT3-Whz5_BkxUa3T4_gW2p2mQ; refresh_token=AQABAAAAAABHh4kmS_aKT5XrjzxRAtHzFfCnVGUUAnpT_CvbjXfwj3X1_XNnKRKUdd32TH1AAH2rNQM3UOZXlqBNGA1WvE-3K01s9U0O5mSqCpDTvd2qhP30dpBiiuyBw06hViPLNdafDiDHtoEAJdeM2kvNAHopYIm-8cyeejNjVf_mihQV_JL4RHQizHto0UU_9pTDGOgc3CkQTBbZNCLT8uZE_Cbr8aOR3l5dX46H_PSV9SOya3lETRXclciC0d21H09tf0FF1yJUqqkllLDO0494ZzMv_laRxfJiz5SKlz2ydoSgQALOuCL5J4XpdnaLTs9ZowNsRJUl8W94o-cUCsXdNYkEPnCFSP_Muo5SWQane8Vk_oOO63nKYJKBVrLac-2qfg1x69h6GjHmuUbZfqLFZqjRGh6Gz9AmS6rcGVcgBFgAuk_w3qZoZp0uLHpU0rRM1VSJyS7ORcKangxre4lt9umNc1EE7ZN0wx9DKwBLyVTaIF9nF11KskbldZqvchvavBJxf0EMzKpmKs5-_uvLlv6jvk-5cd8DB3mYWM0rYn6PT3qMyrHpU5lnX0Jwx6GPrK6FQ0vIgWLSOhyYZRE1HDut_mcJ73u1EiyaPLt2bmoQT21G3A81Dx3-zcdngqy5gMtaeqIWt_e8mNiVwVvsfjxYd2ZSRZ2wKYgv6EXhUl5yCsgffkRy4A0IJQR-Faxp0Nc41U-rWAjFnQ_BtgbhEPwvBaCXPCL6_QCc28Z19sp_h-dnXE59UeaFZClUmvm-6CLJIox1TNCtohGRgWeh_o_CGSq3AvASWVc-kbl7KYKBRSAA; id_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJub25lIn0.eyJhdWQiOiI5OTBiZmFiOS02ZWI0LTRjZjMtYjkyNS0yYWJjZjIyNmRkMDQiLCJpc3MiOiJodHRwczovL3N0cy53aW5kb3dzLm5ldC9lOTVjNTY3NS03ZWFkLTQ0N2ItYWY4MC1hZmZiMWU2NDZkM2YvIiwiaWF0IjoxNTEwNjgxODAzLCJuYmYiOjE1MTA2ODE4MDMsImV4cCI6MTUxMDY4NTcwMywiYW1yIjpbInB3ZCJdLCJmYW1pbHlfbmFtZSI6IlRlYW0iLCJnaXZlbl9uYW1lIjoiRGV2ZWxvcG1lbnQiLCJpcGFkZHIiOiIxNS4yMDMuMjMzLjc4IiwibmFtZSI6IkRldmVsb3BtZW50IFRlYW0iLCJvaWQiOiI0MDViZmFiMy05YTc1LTQxYTAtYmI5My1hNWYyM2UyMWY3NWIiLCJzdWIiOiI1MGU1RzhfWlBXR01pSHo2akxSTThZMFFXbjhYLWQ5dUtsZWNUdDlHa0FZIiwidGlkIjoiZTk1YzU2NzUtN2VhZC00NDdiLWFmODAtYWZmYjFlNjQ2ZDNmIiwidW5pcXVlX25hbWUiOiJkZXZlbG9wbWVudGFkbWluQGFyc3Rjb25uYXp1cmVvMzY1Lm9ubWljcm9zb2Z0LmNvbSIsInVwbiI6ImRldmVsb3BtZW50YWRtaW5AYXJzdGNvbm5henVyZW8zNjUub25taWNyb3NvZnQuY29tIiwidmVyIjoiMS4wIn0.}
11:55:04, Drive Information
@{@odata.context=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/$metadata#drive; @odata.type=#oneDrive.drive; @odata.id=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/drive; @odata.editLink=drive; createdBy=; createdDateTime=2017-10-25T04:53:35Z; description=; id=b!W-UNaR9o9EqVoqUSKHRdCZqRwLFLIXpIk7OiSdbeH9xDg2b_wUNpT6BrjVeUqeLG; lastModifiedBy=; lastModifiedDateTime=2017-10-27T20:54:54Z; name=OneDrive; webUrl=https://arstconnazureo365-my.sharepoint.com/personal/developmentadmin_arstconnazureo365_onmicrosoft_com/Documents; driveType=business; owner=; quota=}
11:55:04, Files and Folders in root drive

11:55:04, End Process
