14:37:20, Start Process on OneDrive
Time,Action
14:37:25,Testing OneDrive Single-Sign-On
14:37:25,Code Exist
14:37:25, Get Authentication Token
14:37:25, Authentication Token Exist
@{token_type=Bearer; scope=AllSites.Manage AllSites.Read AllSites.Write MyFiles.Read MyFiles.Write; expires_in=3599; ext_expires_in=0; expires_on=1510868245; not_before=1510864345; resource=https://arstconnazureo365-my.sharepoint.com/; access_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsIng1dCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyIsImtpZCI6IjJLVmN1enFBaWRPTHFXU2FvbDd3Z0ZSR0NZbyJ9.eyJhdWQiOiJodHRwczovL2Fyc3Rjb25uYXp1cmVvMzY1LW15LnNoYXJlcG9pbnQuY29tLyIsImlzcyI6Imh0dHBzOi8vc3RzLndpbmRvd3MubmV0L2U5NWM1Njc1LTdlYWQtNDQ3Yi1hZjgwLWFmZmIxZTY0NmQzZi8iLCJpYXQiOjE1MTA4NjQzNDUsIm5iZiI6MTUxMDg2NDM0NSwiZXhwIjoxNTEwODY4MjQ1LCJhY3IiOiIxIiwiYWlvIjoiQVNRQTIvOEdBQUFBMHFNQTJOTU5iaWFVcUI3bEFPWFIyT1dVOVg0cnliMTQ0MW02S1ZXZ2xMZz0iLCJhbXIiOlsicHdkIl0sImFwcF9kaXNwbGF5bmFtZSI6IkFjY2Vzcy0xRHJpdmU0QnVzaW5lc3MiLCJhcHBpZCI6Ijk5MGJmYWI5LTZlYjQtNGNmMy1iOTI1LTJhYmNmMjI2ZGQwNCIsImFwcGlkYWNyIjoiMSIsImZhbWlseV9uYW1lIjoiVGVhbSIsImdpdmVuX25hbWUiOiJEZXZlbG9wbWVudCIsImlwYWRkciI6IjE1LjIwMy4yMzMuNzciLCJuYW1lIjoiRGV2ZWxvcG1lbnQgVGVhbSIsIm9pZCI6IjQwNWJmYWIzLTlhNzUtNDFhMC1iYjkzLWE1ZjIzZTIxZjc1YiIsInB1aWQiOiIxMDAzMDAwMEE1RDk3Mjc2Iiwic2NwIjoiQWxsU2l0ZXMuTWFuYWdlIEFsbFNpdGVzLlJlYWQgQWxsU2l0ZXMuV3JpdGUgTXlGaWxlcy5SZWFkIE15RmlsZXMuV3JpdGUiLCJzdWIiOiJrOFNfOVhGWGdiWElXbVVkUHl0UDBIS2lEeFJhZWhJMlB3UVY1WGNDNzdvIiwidGlkIjoiZTk1YzU2NzUtN2VhZC00NDdiLWFmODAtYWZmYjFlNjQ2ZDNmIiwidW5pcXVlX25hbWUiOiJkZXZlbG9wbWVudGFkbWluQGFyc3Rjb25uYXp1cmVvMzY1Lm9ubWljcm9zb2Z0LmNvbSIsInVwbiI6ImRldmVsb3BtZW50YWRtaW5AYXJzdGNvbm5henVyZW8zNjUub25taWNyb3NvZnQuY29tIiwidmVyIjoiMS4wIn0.SVdbFjrGLz6FBwAf6cptC4rRFDga1k7dYJKHSV0uL7zRG14NW9Or1U2Xml1sikr5NTiH-iVuaf11RRyCdQI7E2TGkyLT8TXcIYBSrvw8fNZjsmK4QjsBjpn6HNYrwJjnWpBwJmJ9pEziks7m3qmwzQsMp69YgjAgo7RlgLoCcOpzcmkyvN7A4_D11yEI1gRoFw3KXK99y1xkv0Hlv9CTzYwkrVhtLY6R3bE5M90PHtmMlCeXA-3Hrkkw2Yh2Mju6YurkvNi-RSePs1bMfJSM1J3kP-_QPMcPszKc6o9Efbk_G4OkkfGnIlkwuh0RUFI4HSkwOH7WfcWS6RB6iTDWXQ; refresh_token=AQABAAAAAABHh4kmS_aKT5XrjzxRAtHz18v997vhkL_dRDHV8lwC2YKm19E4_ksbeBJ4vaNfSw81mPg9ZdwrNgz_iYSl-rvkzROpuxG8FHDIMDyFCqkOBk290Hu8ZX3iNnNqbSJ17fiLKEgZXrPKk-rSlV_VVIjMaCSrnYIGjqXam3sk8JC5D_b8WF1DcxkWbokl84IqbKXlR-BQfJZBUQghoUC4Z2xkmEGw-HT7XncAj7a2FzSmwcU8Y0SNQ1OLhscGoMcle0o6UWsL1Ub7J71Y_cvQ6mHWmQXIlcDJ-zPH2BU-WCxaXs2eYjssiRutnQWp4an8H0J0pkltPWTWn-5WTkh1p0ISPHagXt0tHLcWUO-kBhn_OebNBK0g27USwACgpP5j19QXt9OJT8-GqV6KsnPILWJE64V-SAeL4o6M7Re2AEi06LuqmWDEZbfoqWsUMw2A9ogKNCUcuegehbeXSoQXRoghQasrSwFj1QfGpc9uUBOIzFgpGETYCVjDr9YMqvg3fjJhnisyhamq27mXGA7vD5kuigf_VkPhUlrz5G_2tAZsI4htw_r4NuCnXSQzor86myqTklUPThnm-3teehs7uRfsmU5VQSZ6LnbHmPTNI1B8sVZhfrctOkvWoCs-OSp_JEX_tG4ZtiYrjGTfiXIE-0TdGilUHAXLRsVbBQmRWHb4M3qjw13rBnU0VrL7iWJJyPKOsQeKHKSEmImXuCGmBj3V8EgHf5gKz1f1s6gf2iwfQXbCu0udvPdqSJe6B8oSLvzmVvZZAiD4yvWh8gGrFzcuxrVF3SuV16k_ijoWWNH4NyAA; id_token=eyJ0eXAiOiJKV1QiLCJhbGciOiJub25lIn0.eyJhdWQiOiI5OTBiZmFiOS02ZWI0LTRjZjMtYjkyNS0yYWJjZjIyNmRkMDQiLCJpc3MiOiJodHRwczovL3N0cy53aW5kb3dzLm5ldC9lOTVjNTY3NS03ZWFkLTQ0N2ItYWY4MC1hZmZiMWU2NDZkM2YvIiwiaWF0IjoxNTEwODY0MzQ1LCJuYmYiOjE1MTA4NjQzNDUsImV4cCI6MTUxMDg2ODI0NSwiYW1yIjpbInB3ZCJdLCJmYW1pbHlfbmFtZSI6IlRlYW0iLCJnaXZlbl9uYW1lIjoiRGV2ZWxvcG1lbnQiLCJpcGFkZHIiOiIxNS4yMDMuMjMzLjc3IiwibmFtZSI6IkRldmVsb3BtZW50IFRlYW0iLCJvaWQiOiI0MDViZmFiMy05YTc1LTQxYTAtYmI5My1hNWYyM2UyMWY3NWIiLCJzdWIiOiI1MGU1RzhfWlBXR01pSHo2akxSTThZMFFXbjhYLWQ5dUtsZWNUdDlHa0FZIiwidGlkIjoiZTk1YzU2NzUtN2VhZC00NDdiLWFmODAtYWZmYjFlNjQ2ZDNmIiwidW5pcXVlX25hbWUiOiJkZXZlbG9wbWVudGFkbWluQGFyc3Rjb25uYXp1cmVvMzY1Lm9ubWljcm9zb2Z0LmNvbSIsInVwbiI6ImRldmVsb3BtZW50YWRtaW5AYXJzdGNvbm5henVyZW8zNjUub25taWNyb3NvZnQuY29tIiwidmVyIjoiMS4wIn0.}
14:37:26, Drive Information
@{@odata.context=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/$metadata#drive; @odata.type=#oneDrive.drive; @odata.id=https://arstconnazureo365-my.sharepoint.com/_api/v2.0/drive; @odata.editLink=drive; createdBy=; createdDateTime=2017-10-25T04:53:35Z; description=; id=b!W-UNaR9o9EqVoqUSKHRdCZqRwLFLIXpIk7OiSdbeH9xDg2b_wUNpT6BrjVeUqeLG; lastModifiedBy=; lastModifiedDateTime=2017-10-27T20:54:54Z; name=OneDrive; webUrl=https://arstconnazureo365-my.sharepoint.com/personal/developmentadmin_arstconnazureo365_onmicrosoft_com/Documents; driveType=business; owner=; quota=}
14:37:27, Files and Folders in root drive

